Benchmark,calls,score
Richards,direct,3576
DeltaBlue,direct,6129
Crypto,direct,5192
RayTrace,direct,7510
EarleyBoyer,direct,4740
RegExp,direct,749
Splay,direct,3211
SplayLatency,direct,8108
NavierStokes,direct,5057
PdfJS,direct,1899
Mandreel,direct,2738
MandreelLatency,direct,6577
Gameboy,direct,3871
CodeLoad,direct,3241
Box2D,direct,3118
zlib,direct,12203
Typescript,direct,4838
Score (version 9),direct,4146
Richards,direct,3573
DeltaBlue,direct,6030
Crypto,direct,5073
RayTrace,direct,7561
EarleyBoyer,direct,4738
RegExp,direct,746
Splay,direct,3243
SplayLatency,direct,9193
NavierStokes,direct,5031
PdfJS,direct,1882
Mandreel,direct,2775
MandreelLatency,direct,6692
Gameboy,direct,3850
CodeLoad,direct,3239
Box2D,direct,3120
zlib,direct,12186
Typescript,direct,4807
Score (version 9),direct,4170
Richards,direct,3573
DeltaBlue,direct,5944
Crypto,direct,5194
RayTrace,direct,7437
EarleyBoyer,direct,4662
RegExp,direct,751
Splay,direct,2906
SplayLatency,direct,9504
NavierStokes,direct,5053
PdfJS,direct,1967
Mandreel,direct,2762
MandreelLatency,direct,6665
Gameboy,direct,3861
CodeLoad,direct,3225
Box2D,direct,3096
zlib,direct,12219
Typescript,direct,4862
Score (version 9),direct,4158
Richards,direct,3583
DeltaBlue,direct,6076
Crypto,direct,5216
RayTrace,direct,7510
EarleyBoyer,direct,4756
RegExp,direct,751
Splay,direct,3279
SplayLatency,direct,9118
NavierStokes,direct,5036
PdfJS,direct,1887
Mandreel,direct,2775
MandreelLatency,direct,6719
Gameboy,direct,3885
CodeLoad,direct,3220
Box2D,direct,3122
zlib,direct,12204
Typescript,direct,4790
Score (version 9),direct,4184
Richards,direct,3573
DeltaBlue,direct,6083
Crypto,direct,5193
RayTrace,direct,7576
EarleyBoyer,direct,4717
RegExp,direct,745
Splay,direct,3243
SplayLatency,direct,9217
NavierStokes,direct,5041
PdfJS,direct,1880
Mandreel,direct,2755
MandreelLatency,direct,6710
Gameboy,direct,3874
CodeLoad,direct,3225
Box2D,direct,3083
zlib,direct,12201
Typescript,direct,4859
Score (version 9),direct,4177
Richards,direct,3562
DeltaBlue,direct,6063
Crypto,direct,5170
RayTrace,direct,7599
EarleyBoyer,direct,4747
RegExp,direct,753
Splay,direct,3346
SplayLatency,direct,8348
NavierStokes,direct,5057
PdfJS,direct,1894
Mandreel,direct,2751
MandreelLatency,direct,6594
Gameboy,direct,3865
CodeLoad,direct,3216
Box2D,direct,2944
zlib,direct,12220
Typescript,direct,4817
Score (version 9),direct,4147
Richards,direct,3587
DeltaBlue,direct,6056
Crypto,direct,5096
RayTrace,direct,7635
EarleyBoyer,direct,4666
RegExp,direct,754
Splay,direct,2935
SplayLatency,direct,9633
NavierStokes,direct,5031
PdfJS,direct,1964
Mandreel,direct,2757
MandreelLatency,direct,6692
Gameboy,direct,3839
CodeLoad,direct,3233
Box2D,direct,3124
zlib,direct,12179
Typescript,direct,4806
Score (version 9),direct,4169
Richards,direct,3576
DeltaBlue,direct,6063
Crypto,direct,5194
RayTrace,direct,7614
EarleyBoyer,direct,4745
RegExp,direct,750
Splay,direct,3349
SplayLatency,direct,8098
NavierStokes,direct,5046
PdfJS,direct,1905
Mandreel,direct,2749
MandreelLatency,direct,6629
Gameboy,direct,3866
CodeLoad,direct,3251
Box2D,direct,3323
zlib,direct,12203
Typescript,direct,4804
Score (version 9),direct,4174
Richards,direct,3541
DeltaBlue,direct,6089
Crypto,direct,5153
RayTrace,direct,7650
EarleyBoyer,direct,4744
RegExp,direct,746
Splay,direct,3219
SplayLatency,direct,8107
NavierStokes,direct,5046
PdfJS,direct,1886
Mandreel,direct,2772
MandreelLatency,direct,6755
Gameboy,direct,3846
CodeLoad,direct,3236
Box2D,direct,3113
