Benchmark,calls,score
Richards,direct,7526
DeltaBlue,direct,12827
Crypto,direct,10041
RayTrace,direct,15641
EarleyBoyer,direct,7920
RegExp,direct,1808
Splay,direct,6723
SplayLatency,direct,19994
NavierStokes,direct,10347
PdfJS,direct,3994
Mandreel,direct,7350
MandreelLatency,direct,14926
Gameboy,direct,10515
CodeLoad,direct,6617
Box2D,direct,4203
zlib,direct,26100
Typescript,direct,10896
Score (version 9),direct,8782
Richards,direct,7664
DeltaBlue,direct,12675
Crypto,direct,10040
RayTrace,direct,15493
EarleyBoyer,direct,8011
RegExp,direct,1800
Splay,direct,6356
SplayLatency,direct,12708
NavierStokes,direct,10873
PdfJS,direct,4034
Mandreel,direct,7408
MandreelLatency,direct,15153
Gameboy,direct,10448
CodeLoad,direct,6620
Box2D,direct,4236
zlib,direct,25993
Typescript,direct,10919
Score (version 9),direct,8567
Richards,direct,7537
DeltaBlue,direct,12536
Crypto,direct,9940
RayTrace,direct,15598
EarleyBoyer,direct,7962
RegExp,direct,1804
Splay,direct,6421
SplayLatency,direct,18911
NavierStokes,direct,10801
PdfJS,direct,4002
Mandreel,direct,7415
MandreelLatency,direct,15199
Gameboy,direct,10575
CodeLoad,direct,6629
Box2D,direct,4191
zlib,direct,26024
Typescript,direct,10931
Score (version 9),direct,8754
Richards,direct,7509
DeltaBlue,direct,12609
Crypto,direct,10015
RayTrace,direct,15540
EarleyBoyer,direct,7976
RegExp,direct,1811
Splay,direct,6487
SplayLatency,direct,18718
NavierStokes,direct,10747
PdfJS,direct,3921
Mandreel,direct,7428
MandreelLatency,direct,15153
Gameboy,direct,10473
CodeLoad,direct,6609
Box2D,direct,4216
zlib,direct,26185
Typescript,direct,10895
Score (version 9),direct,8744
Richards,direct,7484
DeltaBlue,direct,12721
Crypto,direct,10033
RayTrace,direct,15509
EarleyBoyer,direct,7966
RegExp,direct,1795
Splay,direct,6707
SplayLatency,direct,18754
NavierStokes,direct,10779
PdfJS,direct,4581
Mandreel,direct,7376
MandreelLatency,direct,15199
Gameboy,direct,10583
CodeLoad,direct,6625
Box2D,direct,4224
zlib,direct,26212
Typescript,direct,10855
Score (version 9),direct,8846
Richards,direct,7735
DeltaBlue,direct,12794
Crypto,direct,9982
RayTrace,direct,15404
EarleyBoyer,direct,7948
RegExp,direct,1795
Splay,direct,6389
SplayLatency,direct,17308
NavierStokes,direct,10822
PdfJS,direct,3971
Mandreel,direct,7357
MandreelLatency,direct,14793
Gameboy,direct,10507
CodeLoad,direct,6623
Box2D,direct,4240
zlib,direct,26033
Typescript,direct,10934
Score (version 9),direct,8703
Richards,direct,7491
DeltaBlue,direct,12774
Crypto,direct,10090
RayTrace,direct,15788
EarleyBoyer,direct,8027
RegExp,direct,1797
Splay,direct,6415
SplayLatency,direct,16360
NavierStokes,direct,10801
PdfJS,direct,3905
Mandreel,direct,7337
MandreelLatency,direct,15016
Gameboy,direct,10549
CodeLoad,direct,6596
Box2D,direct,10710
zlib,direct,25914
Typescript,direct,10869
Score (version 9),direct,9160
Richards,direct,7498
DeltaBlue,direct,12629
Crypto,direct,9976
RayTrace,direct,15540
EarleyBoyer,direct,7940
RegExp,direct,1822
Splay,direct,6610
SplayLatency,direct,19261
NavierStokes,direct,10812
PdfJS,direct,4606
Mandreel,direct,7382
MandreelLatency,direct,15199
Gameboy,direct,10609
CodeLoad,direct,6607
Box2D,direct,4261
zlib,direct,26158
Typescript,direct,10889
Score (version 9),direct,8863
Richards,direct,7473
DeltaBlue,direct,12728
Crypto,direct,9978
RayTrace,direct,15124
EarleyBoyer,direct,7977
RegExp,direct,1793
Splay,direct,6413
SplayLatency,direct,15576
NavierStokes,direct,10685
PdfJS,direct,4557
Mandreel,direct,7428
MandreelLatency,direct,15199
Gameboy,direct,10596
CodeLoad,direct,6616
Box2D,direct,4261
zlib,direct,26162
Typescript,direct,10864
Score (version 9),direct,8711
Richards,direct,7569
DeltaBlue,direct,12794
Crypto,direct,10056
RayTrace,direct,15404
EarleyBoyer,direct,8052
RegExp,direct,1799
Splay,direct,6584
SplayLatency,direct,18251
NavierStokes,direct,10790
PdfJS,direct,4569
Mandreel,direct,7369
MandreelLatency,direct,14881
Gameboy,direct,10643
CodeLoad,direct,6627
Box2D,direct,4211
zlib,direct,26149
Typescript,direct,10952
Score (version 9),direct,8828
Richards,indirect,7685
DeltaBlue,indirect,12549
Crypto,indirect,10087
RayTrace,indirect,15656
EarleyBoyer,indirect,7958
RegExp,indirect,1790
Splay,indirect,6389
SplayLatency,indirect,14391
NavierStokes,indirect,10769
PdfJS,indirect,4050
Mandreel,indirect,6706
MandreelLatency,indirect,13621
Gameboy,indirect,10511
CodeLoad,indirect,6639
Box2D,indirect,4244
zlib,indirect,25989
Typescript,indirect,10723
Score (version 9),indirect,8519
Richards,indirect,7735
DeltaBlue,indirect,12595
Crypto,indirect,10065
RayTrace,indirect,15257
EarleyBoyer,indirect,7958
RegExp,indirect,1786
Splay,indirect,6527
SplayLatency,indirect,17806
NavierStokes,indirect,10306
PdfJS,indirect,4038
Mandreel,indirect,7325
MandreelLatency,indirect,14971
Gameboy,indirect,10499
CodeLoad,indirect,6691
Box2D,indirect,4299
zlib,indirect,26149
Typescript,indirect,10796
Score (version 9),indirect,8713
Richards,indirect,7731
DeltaBlue,indirect,12609
Crypto,indirect,10079
RayTrace,indirect,15478
EarleyBoyer,indirect,7907
RegExp,indirect,1797
Splay,indirect,6454
SplayLatency,indirect,15535
NavierStokes,indirect,10841
PdfJS,indirect,3998
Mandreel,indirect,7369
MandreelLatency,indirect,15199
Gameboy,indirect,10520
CodeLoad,indirect,6672
Box2D,indirect,4224
zlib,indirect,26122
Typescript,indirect,10720
Score (version 9),indirect,8664
Richards,indirect,7692
DeltaBlue,indirect,12516
Crypto,indirect,9995
RayTrace,indirect,15466
EarleyBoyer,indirect,7957
RegExp,indirect,1793
Splay,indirect,6413
SplayLatency,indirect,15484
NavierStokes,indirect,10894
PdfJS,indirect,4565
Mandreel,indirect,7421
MandreelLatency,indirect,15292
Gameboy,indirect,10428
CodeLoad,indirect,6689
Box2D,indirect,4282
zlib,indirect,26171
Typescript,indirect,10828
Score (version 9),indirect,8737
Richards,indirect,7675
DeltaBlue,indirect,12648
Crypto,indirect,10080
RayTrace,indirect,15509
EarleyBoyer,indirect,7935
RegExp,indirect,1793
Splay,indirect,6536
SplayLatency,indirect,19417
NavierStokes,indirect,10769
PdfJS,indirect,3998
Mandreel,indirect,7337
MandreelLatency,indirect,15061
Gameboy,indirect,10562
CodeLoad,indirect,6593
Box2D,indirect,10562
zlib,indirect,26007
Typescript,indirect,10729
Score (version 9),indirect,9254
Richards,indirect,7646
DeltaBlue,indirect,12569
Crypto,indirect,9970
RayTrace,indirect,15466
EarleyBoyer,indirect,7914
RegExp,indirect,1802
Splay,indirect,6430
SplayLatency,indirect,18940
NavierStokes,indirect,10873
PdfJS,indirect,3943
Mandreel,indirect,7376
MandreelLatency,indirect,14926
Gameboy,indirect,10541
CodeLoad,indirect,6686
Box2D,indirect,4232
zlib,indirect,26069
Typescript,indirect,10836
Score (version 9),indirect,8745
Richards,indirect,7622
DeltaBlue,indirect,12615
Crypto,indirect,10046
RayTrace,indirect,15376
EarleyBoyer,indirect,7939
RegExp,indirect,1804
Splay,indirect,6568
SplayLatency,indirect,18891
NavierStokes,indirect,10801
PdfJS,indirect,4014
Mandreel,indirect,7389
MandreelLatency,indirect,15107
Gameboy,indirect,10524
CodeLoad,indirect,6700
Box2D,indirect,4207
zlib,indirect,26127
Typescript,indirect,10806
Score (version 9),indirect,8768
Richards,indirect,7717
DeltaBlue,indirect,12761
Crypto,indirect,10011
RayTrace,indirect,15435
EarleyBoyer,indirect,7908
RegExp,indirect,1784
Splay,indirect,6356
SplayLatency,indirect,19210
NavierStokes,indirect,10841
PdfJS,indirect,4050
Mandreel,indirect,7376
MandreelLatency,indirect,15107
Gameboy,indirect,10428
CodeLoad,indirect,6732
Box2D,indirect,4195
zlib,indirect,26158
Typescript,indirect,10693
Score (version 9),indirect,8762
Richards,indirect,7710
DeltaBlue,indirect,12622
Crypto,indirect,10014
RayTrace,indirect,15392
EarleyBoyer,indirect,7917
RegExp,indirect,1790
Splay,indirect,6438
SplayLatency,indirect,18887
NavierStokes,indirect,10851
PdfJS,indirect,3828
Mandreel,indirect,6686
MandreelLatency,indirect,13658
Gameboy,indirect,10520
CodeLoad,indirect,6659
Box2D,indirect,4203
zlib,indirect,26122
Typescript,indirect,10773
Score (version 9),indirect,8627
Richards,indirect,7629
DeltaBlue,indirect,12503
Crypto,indirect,10090
RayTrace,indirect,15466
EarleyBoyer,indirect,7929
RegExp,indirect,1804
Splay,indirect,6413
SplayLatency,indirect,17333
NavierStokes,indirect,10822
PdfJS,indirect,3876
Mandreel,indirect,7363
MandreelLatency,indirect,14971
Gameboy,indirect,10486
CodeLoad,indirect,6669
Box2D,indirect,4249
