Benchmark,calls,score
Richards,direct,10767
DeltaBlue,direct,18963
Crypto,direct,10653
RayTrace,direct,25826
EarleyBoyer,direct,15763
RegExp,direct,2148
Splay,direct,7823
SplayLatency,direct,21200
NavierStokes,direct,12036
PdfJS,direct,6983
Mandreel,direct,9456
MandreelLatency,direct,21124
Gameboy,direct,17303
CodeLoad,direct,9558
Box2D,direct,8623
zlib,direct,26198
Typescript,direct,16216
Score (version 9),direct,12263
Richards,direct,10764
DeltaBlue,direct,18890
Crypto,direct,10560
RayTrace,direct,26909
EarleyBoyer,direct,15038
RegExp,direct,2224
Splay,direct,7049
SplayLatency,direct,21466
NavierStokes,direct,11901
PdfJS,direct,6057
Mandreel,direct,9181
MandreelLatency,direct,20946
Gameboy,direct,15829
CodeLoad,direct,9447
Box2D,direct,10150
zlib,direct,25748
Typescript,direct,15088
Score (version 9),direct,12053
Richards,direct,10654
DeltaBlue,direct,17773
Crypto,direct,10336
RayTrace,direct,25948
EarleyBoyer,direct,14996
RegExp,direct,2083
Splay,direct,7676
SplayLatency,direct,20135
NavierStokes,direct,12048
PdfJS,direct,6045
Mandreel,direct,9164
MandreelLatency,direct,19398
Gameboy,direct,16227
CodeLoad,direct,9400
Box2D,direct,6986
zlib,direct,25779
Typescript,direct,14932
Score (version 9),direct,11630
Richards,direct,9337
DeltaBlue,direct,17363
Crypto,direct,10392
RayTrace,direct,24469
EarleyBoyer,direct,14538
RegExp,direct,2000
Splay,direct,7456
SplayLatency,direct,21299
NavierStokes,direct,11427
PdfJS,direct,5887
Mandreel,direct,8914
MandreelLatency,direct,19248
Gameboy,direct,15720
CodeLoad,direct,9039
Box2D,direct,6945
zlib,direct,25967
Typescript,direct,14904
Score (version 9),direct,11333
Richards,direct,8903
DeltaBlue,direct,15564
Crypto,direct,10024
RayTrace,direct,23411
EarleyBoyer,direct,14239
RegExp,direct,2054
Splay,direct,7619
SplayLatency,direct,20367
NavierStokes,direct,11256
PdfJS,direct,6426
Mandreel,direct,8300
MandreelLatency,direct,18464
Gameboy,direct,15619
CodeLoad,direct,8903
Box2D,direct,6890
zlib,direct,25002
Typescript,direct,14416
Score (version 9),direct,11072
Richards,direct,10103
DeltaBlue,direct,17977
Crypto,direct,10722
RayTrace,direct,23828
EarleyBoyer,direct,14844
RegExp,direct,1857
Splay,direct,7636
SplayLatency,direct,21179
NavierStokes,direct,11415
PdfJS,direct,6039
Mandreel,direct,8921
MandreelLatency,direct,19248
Gameboy,direct,15641
CodeLoad,direct,9108
Box2D,direct,7494
zlib,direct,25967
Typescript,direct,14562
Score (version 9),direct,11443
Richards,direct,9987
DeltaBlue,direct,17098
Crypto,direct,10456
RayTrace,direct,27030
EarleyBoyer,direct,14915
RegExp,direct,2297
Splay,direct,7717
SplayLatency,direct,20527
NavierStokes,direct,12036
PdfJS,direct,6756
Mandreel,direct,9474
MandreelLatency,direct,21214
Gameboy,direct,16790
CodeLoad,direct,9203
Box2D,direct,7486
zlib,direct,25905
Typescript,direct,15009
Score (version 9),direct,11900
Richards,direct,10749
DeltaBlue,direct,18182
Crypto,direct,10682
RayTrace,direct,26808
EarleyBoyer,direct,14945
RegExp,direct,2066
Splay,direct,7725
SplayLatency,direct,20079
NavierStokes,direct,11381
PdfJS,direct,5791
Mandreel,direct,9456
MandreelLatency,direct,21124
Gameboy,direct,15807
CodeLoad,direct,9500
Box2D,direct,11229
zlib,direct,26002
Typescript,direct,14564
Score (version 9),direct,12011
Richards,direct,10757
DeltaBlue,direct,18831
Crypto,direct,10663
RayTrace,direct,26291
EarleyBoyer,direct,13888
RegExp,direct,1815
Splay,direct,6936
SplayLatency,direct,15878
NavierStokes,direct,12036
PdfJS,direct,6514
Mandreel,direct,8977
MandreelLatency,direct,19941
Gameboy,direct,14666
CodeLoad,direct,8599
Box2D,direct,7561
zlib,direct,25726
Typescript,direct,14114
Score (version 9),direct,11272
Richards,direct,9825
DeltaBlue,direct,19174
Crypto,direct,10584
RayTrace,direct,27010
EarleyBoyer,direct,14546
RegExp,direct,1829
Splay,direct,7073
SplayLatency,direct,19576
NavierStokes,direct,9991
PdfJS,direct,5448
Mandreel,direct,7448
MandreelLatency,direct,15927
Gameboy,direct,12186
CodeLoad,direct,8223
Box2D,direct,6474
zlib,direct,24295
Typescript,direct,12978
Score (version 9),direct,10583
Richards,indirect,10757
DeltaBlue,indirect,18090
Crypto,indirect,10694
RayTrace,indirect,26439
EarleyBoyer,indirect,14048
RegExp,indirect,1885
Splay,indirect,7562
SplayLatency,indirect,19582
NavierStokes,indirect,12036
PdfJS,indirect,6599
Mandreel,indirect,9334
MandreelLatency,indirect,19941
Gameboy,indirect,16960
CodeLoad,indirect,9474
Box2D,indirect,5923
zlib,indirect,25805
Typescript,indirect,14683
Score (version 9),indirect,11545
Richards,indirect,9203
DeltaBlue,indirect,17660
Crypto,indirect,10498
RayTrace,indirect,23828
